year,circuit,stay_out_driver,pitting_car,pit_lap,stay_out_laps,gap_ahead,tire_age,ca_tire_age,tire_age_delta,compound,own_pace,threat_pace,pace_delta,deg_delta,ca_deg_delta,closing_rate,pit_loss,pit_loss_fraction,race_progress,overcut_success
2022,Bahrain Grand Prix,SAI,VER,14,19,5.788,16.0,16.0,0.0,SOFT,99.358,98.8015,0.5564999999999998,0.12670000000000348,-0.004599999999997062,0.4783000000000012,25.145,0.2530747398297067,0.22807017543859648,0
2022,Bahrain Grand Prix,SAI,VER,30,3,7.108,15.0,15.0,0.0,SOFT,97.1085,97.133,-0.024499999999989086,0.10330000000000256,0.1700000000000035,-0.0163000000000001,25.145,0.25893716821905394,0.5087719298245614,0
2022,Bahrain Grand Prix,OCO,GAS,14,16,2.324,13.0,16.0,-3.0,SOFT,100.4385,100.4795,-0.04099999999999682,0.06239999999999471,0.05600000000000235,-0.0754000000000006,25.145,0.2503522055785381,0.22807017543859648,0
2022,Bahrain Grand Prix,RUS,PER,15,18,5.195,17.0,17.0,0.0,SOFT,99.692,99.236,0.45599999999998886,-0.013700000000002256,-0.02489999999999775,0.44929999999999937,25.145,0.2522268587248726,0.24561403508771928,0
2022,Bahrain Grand Prix,TSU,ALO,11,4,2.706,10.0,13.0,-3.0,SOFT,100.50550000000001,101.125,-0.619499999999988,0.06579999999999045,0.24249999999999683,0.8424999999999992,25.145,0.25018531324156384,0.17543859649122806,0
2022,Bahrain Grand Prix,OCO,ALO,25,5,1.502,10.0,13.0,-3.0,MEDIUM,98.04500000000002,98.937,-0.8919999999999817,0.16199999999999765,0.04489999999999466,-0.8792999999999995,25.145,0.2564638686317507,0.42105263157894735,0
2022,Bahrain Grand Prix,PER,LEC,15,18,12.816,17.0,14.0,3.0,SOFT,99.236,98.6195,0.616500000000002,-0.02489999999999775,0.0354999999999967,2.916699999999994,25.145,0.25338586803176266,0.24561403508771928,0
2022,Bahrain Grand Prix,SAI,LEC,31,2,10.854,16.0,18.0,-2.0,SOFT,97.183,97.2485,-0.06550000000000011,0.05970000000000493,0.14380000000000284,2.055999999999989,25.145,0.2587386682856055,0.5263157894736842,0
2022,Bahrain Grand Prix,OCO,STR,18,12,5.072,3.0,17.0,-14.0,MEDIUM,98.473,100.993,-2.519999999999996,0.19595945945945828,-0.09751428571428457,0.5475999999999983,25.145,0.25534918200928175,0.2982456140350877,1
2022,Bahrain Grand Prix,GAS,MAG,14,18,1.576,16.0,13.0,3.0,SOFT,100.4795,100.5775,-0.09799999999999898,0.05600000000000235,0.059899999999993146,-0.06110000000000007,25.145,0.25025005100542896,0.22807017543859648,1
