year,checkpoint_lap,accuracy,std,se,n_folds,n_rows
2024,5,0.6161031920077972,0.1739988750810657,0.03551737164724017,24,463
2024,10,0.6205651229790162,0.19451817949128622,0.039705857120730235,24,458
2024,20,0.6860238576424722,0.1465047988217018,0.02990516683185597,24,453
2024,30,0.6225939900814127,0.19199613417011818,0.039191046775310615,24,446
2024,40,0.6940076396055499,0.1767522360277834,0.036079399097003896,24,440
2024,50,0.6654817457112517,0.1678772938280912,0.035004835556051814,23,410
2025,5,0.603601807549176,0.18466929092347778,0.03937162511376809,22,425
2025,10,0.5856164281120533,0.18346593311351508,0.038255291542599074,23,436
2025,20,0.652372085371143,0.1639962621423919,0.034195584508171284,23,435
2025,30,0.6990360910446051,0.15273483736454102,0.031176868124175014,24,445
2025,40,0.6378035059052861,0.1909070194434298,0.03896873216266584,24,435
2025,50,0.6325020778715758,0.2037426918517921,0.04248328800988758,23,408
