checkpoint_lap,n_train,n_test,accuracy,f1_weighted
5,852,462,0.6536796536796536,0.6308035835342529
10,841,458,0.6615720524017468,0.6420967260585416
15,836,456,0.6732456140350878,0.6519449075939432
20,827,452,0.6769911504424779,0.6526079379507423
25,815,450,0.7266666666666667,0.7215941172334784
30,788,446,0.7488789237668162,0.742429715644265
35,784,440,0.7795454545454545,0.7749604438820772
40,773,438,0.817351598173516,0.8179318519611789
45,729,417,0.8561151079136691,0.854962923756506
50,713,408,0.8946078431372549,0.8946466790941728
