year,circuit,driver,checkpoint_lap,race_progress,current_position,tire_compound,tire_age,stint_number,gap_to_leader,pace_mean,pace_trend,final_position,final_bucket
2022,Bahrain Grand Prix,VER,5,0.08771929824561403,2.0,SOFT,8.0,1.0,1.43,98.26766666666667,0.34300000000001873,19.0,Out of Points
2022,Bahrain Grand Prix,GAS,5,0.08771929824561403,8.0,SOFT,8.0,1.0,10.956,100.09833333333334,-0.005499999999989603,20.0,Out of Points
2022,Bahrain Grand Prix,PER,5,0.08771929824561403,5.0,SOFT,8.0,1.0,6.6899999999999995,99.10199999999999,-0.1754999999999837,18.0,Out of Points
2022,Bahrain Grand Prix,ALO,5,0.08771929824561403,9.0,SOFT,8.0,1.0,12.3,100.245,-0.157499999999993,9.0,Low Points
2022,Bahrain Grand Prix,LEC,5,0.08771929824561403,1.0,SOFT,5.0,1.0,0.0,98.17966666666666,0.28050000000001596,1.0,Podium
2022,Bahrain Grand Prix,STR,5,0.08771929824561403,17.0,SOFT,5.0,1.0,20.667,101.279,0.4560000000000103,12.0,Out of Points
2022,Bahrain Grand Prix,MAG,5,0.08771929824561403,7.0,SOFT,5.0,1.0,8.583,99.95299999999999,0.32450000000000667,5.0,Top Points
2022,Bahrain Grand Prix,TSU,5,0.08771929824561403,11.0,SOFT,5.0,1.0,16.792,100.75766666666668,0.13050000000000306,8.0,Low Points
2022,Bahrain Grand Prix,ALB,5,0.08771929824561403,12.0,SOFT,5.0,1.0,16.365,100.77933333333333,0.289000000000015,13.0,Out of Points
2022,Bahrain Grand Prix,ZHO,5,0.08771929824561403,15.0,SOFT,5.0,1.0,19.57,100.60166666666667,-0.417999999999983,10.0,Low Points
2022,Bahrain Grand Prix,HUL,5,0.08771929824561403,16.0,SOFT,5.0,1.0,18.993,100.968,0.056000000000010014,17.0,Out of Points
2022,Bahrain Grand Prix,RIC,5,0.08771929824561403,20.0,MEDIUM,5.0,1.0,24.096,102.03466666666667,-0.3934999999999943,14.0,Out of Points
2022,Bahrain Grand Prix,OCO,5,0.08771929824561403,10.0,SOFT,5.0,1.0,13.129,100.18933333333332,0.04900000000001173,7.0,Low Points
2022,Bahrain Grand Prix,NOR,5,0.08771929824561403,18.0,MEDIUM,5.0,1.0,22.002,101.84100000000001,-0.40999999999999215,15.0,Out of Points
2022,Bahrain Grand Prix,HAM,5,0.08771929824561403,4.0,SOFT,7.0,1.0,4.915,98.98966666666666,-0.05499999999999367,3.0,Podium
2022,Bahrain Grand Prix,MSC,5,0.08771929824561403,13.0,SOFT,5.0,1.0,17.849,100.87733333333334,0.22050000000001715,11.0,Out of Points
2022,Bahrain Grand Prix,SAI,5,0.08771929824561403,3.0,SOFT,8.0,1.0,4.018,98.87366666666667,0.13700000000001164,2.0,Podium
2022,Bahrain Grand Prix,LAT,5,0.08771929824561403,19.0,SOFT,5.0,1.0,23.438,101.971,-0.1754999999999916,16.0,Out of Points
2022,Bahrain Grand Prix,RUS,5,0.08771929824561403,6.0,SOFT,8.0,1.0,9.027,99.73033333333332,0.03900000000001456,4.0,Top Points
2022,Bahrain Grand Prix,BOT,5,0.08771929824561403,14.0,SOFT,8.0,1.0,18.262,100.892,0.15500000000001812,6.0,Top Points
2022,Bahrain Grand Prix,VER,10,0.17543859649122806,2.0,SOFT,13.0,1.0,2.876,99.0444,0.09000000000001275,19.0,Out of Points
2022,Bahrain Grand Prix,GAS,10,0.17543859649122806,8.0,SOFT,13.0,1.0,19.864,100.5368,0.14000000000001311,20.0,Out of Points
2022,Bahrain Grand Prix,PER,10,0.17543859649122806,4.0,SOFT,13.0,1.0,10.297,99.4766,0.331500000000013,18.0,Out of Points
2022,Bahrain Grand Prix,ALO,10,0.17543859649122806,10.0,SOFT,13.0,1.0,24.289,101.15299999999999,0.3679000000000093,9.0,Low Points
2022,Bahrain Grand Prix,LEC,10,0.17543859649122806,1.0,SOFT,10.0,1.0,0.0,98.75519999999999,0.09110000000001299,1.0,Podium
2022,Bahrain Grand Prix,STR,10,0.17543859649122806,15.0,SOFT,10.0,1.0,36.061,101.83400000000002,-0.003899999999993306,12.0,Out of Points
2022,Bahrain Grand Prix,MAG,10,0.17543859649122806,7.0,SOFT,10.0,1.0,18.076,100.6538,-0.07129999999998742,5.0,Top Points
2022,Bahrain Grand Prix,TSU,10,0.17543859649122806,11.0,SOFT,10.0,1.0,26.995,100.79580000000001,0.1814000000000109,8.0,Low Points
2022,Bahrain Grand Prix,ALB,10,0.17543859649122806,14.0,SOFT,10.0,1.0,33.407,102.1636,0.10810000000001256,13.0,Out of Points
2022,Bahrain Grand Prix,ZHO,10,0.17543859649122806,13.0,SOFT,10.0,1.0,33.817,101.60459999999999,0.20170000000000585,10.0,Low Points
2022,Bahrain Grand Prix,HUL,10,0.17543859649122806,17.0,SOFT,10.0,1.0,37.564,102.46940000000002,0.2748000000000076,17.0,Out of Points
2022,Bahrain Grand Prix,RIC,10,0.17543859649122806,20.0,MEDIUM,10.0,1.0,41.685,102.273,0.1980000000000092,14.0,Out of Points
2022,Bahrain Grand Prix,OCO,10,0.17543859649122806,9.0,SOFT,10.0,1.0,22.437,100.6168,0.05560000000000964,7.0,Low Points
2022,Bahrain Grand Prix,NOR,10,0.17543859649122806,18.0,MEDIUM,10.0,1.0,38.141,101.983,0.17600000000001162,15.0,Out of Points
2022,Bahrain Grand Prix,HAM,10,0.17543859649122806,5.0,SOFT,12.0,1.0,9.483,99.6688,0.27530000000001165,3.0,Podium
2022,Bahrain Grand Prix,MSC,10,0.17543859649122806,16.0,SOFT,10.0,1.0,35.543,102.29400000000001,0.007500000000013002,11.0,Out of Points
2022,Bahrain Grand Prix,SAI,10,0.17543859649122806,3.0,SOFT,13.0,1.0,7.224,99.3964,0.032700000000011165,2.0,Podium
2022,Bahrain Grand Prix,LAT,10,0.17543859649122806,19.0,SOFT,10.0,1.0,40.754,102.2184,0.057600000000008124,16.0,Out of Points
2022,Bahrain Grand Prix,RUS,10,0.17543859649122806,6.0,SOFT,13.0,1.0,13.718,99.69340000000001,0.23580000000000956,4.0,Top Points
2022,Bahrain Grand Prix,BOT,10,0.17543859649122806,12.0,SOFT,13.0,1.0,30.785,101.2598,-0.1858999999999897,6.0,Top Points
2022,Bahrain Grand Prix,VER,15,0.2631578947368421,4.0,SOFT,1.0,2.0,6.148,99.45374999999999,0.035699999999998594,19.0,Out of Points
2022,Bahrain Grand Prix,GAS,15,0.2631578947368421,12.0,MEDIUM,1.0,2.0,31.949,101.16825,0.10829999999999076,20.0,Out of Points
2022,Bahrain Grand Prix,PER,15,0.2631578947368421,2.0,SOFT,18.0,1.0,13.222,99.87075,0.03809999999999532,18.0,Out of Points
2022,Bahrain Grand Prix,ALO,15,0.2631578947368421,11.0,MEDIUM,4.0,2.0,52.641,100.4615,0.0,9.0,Low Points
2022,Bahrain Grand Prix,LEC,15,0.2631578947368421,1.0,SOFT,15.0,1.0,0.0,99.3186,0.09850000000000338,1.0,Podium
2022,Bahrain Grand Prix,STR,15,0.2631578947368421,10.0,SOFT,15.0,1.0,50.661,102.3475,-0.022600000000000186,12.0,Out of Points
2022,Bahrain Grand Prix,MAG,15,0.2631578947368421,9.0,SOFT,4.0,2.0,30.639,101.22800000000001,0.05699999999999469,5.0,Top Points
2022,Bahrain Grand Prix,TSU,15,0.2631578947368421,7.0,SOFT,15.0,1.0,36.682,101.232,0.024800000000000825,8.0,Low Points
2022,Bahrain Grand Prix,ALB,15,0.2631578947368421,19.0,MEDIUM,2.0,2.0,71.234,102.86433333333332,-0.49750000000000416,13.0,Out of Points
2022,Bahrain Grand Prix,ZHO,15,0.2631578947368421,8.0,SOFT,15.0,1.0,43.486,101.26925,0.04069999999999859,10.0,Low Points
2022,Bahrain Grand Prix,HUL,15,0.2631578947368421,13.0,SOFT,15.0,1.0,54.524,102.6485,-0.3640000000000059,17.0,Out of Points
2022,Bahrain Grand Prix,RIC,15,0.2631578947368421,15.0,MEDIUM,15.0,1.0,56.967,102.375,-0.19680000000001083,14.0,Out of Points
2022,Bahrain Grand Prix,OCO,15,0.2631578947368421,16.0,MEDIUM,1.0,2.0,34.487,101.14075,0.1220999999999847,7.0,Low Points
2022,Bahrain Grand Prix,NOR,15,0.2631578947368421,14.0,MEDIUM,15.0,1.0,55.281,102.73474999999999,-0.43250000000001365,15.0,Out of Points
2022,Bahrain Grand Prix,HAM,15,0.2631578947368421,6.0,HARD,5.0,2.0,39.752,100.4555,0.0,3.0,Podium
2022,Bahrain Grand Prix,MSC,15,0.2631578947368421,18.0,MEDIUM,3.0,2.0,69.325,103.389,0.0,11.0,Out of Points
2022,Bahrain Grand Prix,SAI,15,0.2631578947368421,5.0,SOFT,1.0,2.0,13.546,99.9715,0.16039999999999827,2.0,Podium
2022,Bahrain Grand Prix,LAT,15,0.2631578947368421,20.0,SOFT,1.0,2.0,61.828,103.08800000000001,0.2715999999999981,16.0,Out of Points
2022,Bahrain Grand Prix,RUS,15,0.2631578947368421,3.0,SOFT,18.0,1.0,18.791,100.31424999999999,0.04929999999998722,4.0,Top Points
2022,Bahrain Grand Prix,BOT,15,0.2631578947368421,17.0,MEDIUM,1.0,2.0,42.155,101.05675,0.15069999999999117,6.0,Top Points
2022,Bahrain Grand Prix,VER,20,0.3508771929824561,2.0,SOFT,6.0,2.0,1.231,97.48425,0.25990000000000174,19.0,Out of Points
2022,Bahrain Grand Prix,GAS,20,0.3508771929824561,8.0,MEDIUM,6.0,2.0,36.96,98.96925,0.2153000000000102,20.0,Out of Points
2022,Bahrain Grand Prix,PER,20,0.3508771929824561,4.0,MEDIUM,5.0,2.0,12.962,96.89999999999999,0.28999999999998816,18.0,Out of Points
2022,Bahrain Grand Prix,ALO,20,0.3508771929824561,9.0,MEDIUM,9.0,2.0,40.234,99.9712,-0.1704999999999991,9.0,Low Points
2022,Bahrain Grand Prix,LEC,20,0.3508771929824561,1.0,SOFT,8.0,2.0,0.0,97.52066666666667,-0.05599999999999768,1.0,Podium
2022,Bahrain Grand Prix,STR,20,0.3508771929824561,18.0,SOFT,2.0,2.0,69.758,102.10833333333333,-0.008500000000010322,12.0,Out of Points
2022,Bahrain Grand Prix,MAG,20,0.3508771929824561,7.0,SOFT,9.0,2.0,31.305,98.29124999999999,0.1939000000000018,5.0,Top Points
2022,Bahrain Grand Prix,TSU,20,0.3508771929824561,11.0,MEDIUM,5.0,2.0,47.805,99.23666666666668,-0.46400000000000147,8.0,Low Points
2022,Bahrain Grand Prix,ALB,20,0.3508771929824561,16.0,MEDIUM,7.0,2.0,59.942,100.1942,0.26269999999999577,13.0,Out of Points
2022,Bahrain Grand Prix,ZHO,20,0.3508771929824561,13.0,MEDIUM,5.0,2.0,52.843,98.93066666666665,0.14099999999999135,10.0,Low Points
2022,Bahrain Grand Prix,HUL,20,0.3508771929824561,20.0,SOFT,1.0,2.0,61.977,103.61850000000001,0.3147999999999979,17.0,Out of Points
2022,Bahrain Grand Prix,RIC,20,0.3508771929824561,19.0,SOFT,3.0,2.0,76.407,101.81066666666668,-0.9279615384615374,14.0,Out of Points
2022,Bahrain Grand Prix,OCO,20,0.3508771929824561,10.0,MEDIUM,6.0,2.0,45.224,99.3415,-0.3705999999999891,7.0,Low Points
2022,Bahrain Grand Prix,NOR,20,0.3508771929824561,15.0,MEDIUM,20.0,1.0,57.269,102.8502,-0.053100000000006906,15.0,Out of Points
2022,Bahrain Grand Prix,HAM,20,0.3508771929824561,5.0,HARD,10.0,2.0,19.717,98.44559999999998,-0.025600000000010035,3.0,Podium
2022,Bahrain Grand Prix,MSC,20,0.3508771929824561,14.0,MEDIUM,8.0,2.0,56.111,99.8098,0.24359999999999293,11.0,Out of Points
2022,Bahrain Grand Prix,SAI,20,0.3508771929824561,3.0,SOFT,6.0,2.0,9.401,97.44775000000001,0.07010000000000612,2.0,Podium
2022,Bahrain Grand Prix,LAT,20,0.3508771929824561,17.0,SOFT,6.0,2.0,67.51,99.85275,0.36350000000000204,16.0,Out of Points
2022,Bahrain Grand Prix,RUS,20,0.3508771929824561,6.0,HARD,6.0,2.0,26.505,98.17,0.1089999999999891,4.0,Top Points
2022,Bahrain Grand Prix,BOT,20,0.3508771929824561,12.0,MEDIUM,6.0,2.0,48.655,99.5235,-0.5485999999999992,6.0,Top Points
2022,Bahrain Grand Prix,VER,25,0.43859649122807015,2.0,SOFT,11.0,2.0,3.495,98.2144,-0.03429999999999915,19.0,Out of Points
2022,Bahrain Grand Prix,GAS,25,0.43859649122807015,8.0,MEDIUM,11.0,2.0,44.194,99.2084,0.06850000000000198,20.0,Out of Points
2022,Bahrain Grand Prix,PER,25,0.43859649122807015,4.0,MEDIUM,10.0,2.0,13.292,97.8276,0.15770000000000492,18.0,Out of Points
2022,Bahrain Grand Prix,ALO,25,0.43859649122807015,10.0,MEDIUM,14.0,2.0,52.309,100.17660000000001,0.10790000000000247,9.0,Low Points
2022,Bahrain Grand Prix,LEC,25,0.43859649122807015,1.0,SOFT,13.0,2.0,0.0,97.7616,0.06690000000000602,1.0,Podium
2022,Bahrain Grand Prix,STR,25,0.43859649122807015,16.0,SOFT,7.0,2.0,77.956,99.4012,0.29920000000000485,12.0,Out of Points
2022,Bahrain Grand Prix,MAG,25,0.43859649122807015,7.0,SOFT,14.0,2.0,37.801,99.0608,0.12630000000000582,5.0,Top Points
2022,Bahrain Grand Prix,TSU,25,0.43859649122807015,11.0,MEDIUM,10.0,2.0,56.079,99.4164,0.12890000000000393,8.0,Low Points
2022,Bahrain Grand Prix,ALB,25,0.43859649122807015,15.0,MEDIUM,12.0,2.0,74.775,100.72819999999999,0.0415000000000043,13.0,Out of Points
2022,Bahrain Grand Prix,ZHO,25,0.43859649122807015,13.0,MEDIUM,10.0,2.0,60.273,99.24759999999999,0.15130000000000868,10.0,Low Points
2022,Bahrain Grand Prix,HUL,25,0.43859649122807015,19.0,SOFT,6.0,2.0,93.894,99.2535,0.029400000000007906,17.0,Out of Points
2022,Bahrain Grand Prix,RIC,25,0.43859649122807015,18.0,SOFT,8.0,2.0,86.49,99.7782,0.19580000000000072,14.0,Out of Points
2022,Bahrain Grand Prix,OCO,25,0.43859649122807015,9.0,MEDIUM,11.0,2.0,53.201,99.357,0.22500000000000026,7.0,Low Points
2022,Bahrain Grand Prix,NOR,25,0.43859649122807015,20.0,HARD,1.0,2.0,82.979,102.18975,0.19750000000000026,15.0,Out of Points
2022,Bahrain Grand Prix,HAM,25,0.43859649122807015,5.0,HARD,15.0,2.0,25.915,99.0012,0.20390000000000477,3.0,Podium
2022,Bahrain Grand Prix,MSC,25,0.43859649122807015,14.0,MEDIUM,13.0,2.0,67.168,99.973,0.2538000000000053,11.0,Out of Points
2022,Bahrain Grand Prix,SAI,25,0.43859649122807015,3.0,SOFT,11.0,2.0,10.773,98.036,0.08890000000000359,2.0,Podium
2022,Bahrain Grand Prix,LAT,25,0.43859649122807015,17.0,SOFT,11.0,2.0,84.364,101.13239999999999,0.08070000000000031,16.0,Out of Points
2022,Bahrain Grand Prix,RUS,25,0.43859649122807015,6.0,HARD,11.0,2.0,31.227,98.706,0.2539000000000059,4.0,Top Points
2022,Bahrain Grand Prix,BOT,25,0.43859649122807015,12.0,MEDIUM,11.0,2.0,56.849,99.40039999999999,0.1440000000000081,6.0,Top Points
2022,Bahrain Grand Prix,VER,30,0.5263157894736842,2.0,SOFT,16.0,2.0,4.177,98.7674,0.23300000000000348,19.0,Out of Points
2022,Bahrain Grand Prix,GAS,30,0.5263157894736842,7.0,MEDIUM,16.0,2.0,49.298,99.65180000000001,0.05360000000000364,20.0,Out of Points
2022,Bahrain Grand Prix,PER,30,0.5263157894736842,4.0,MEDIUM,15.0,2.0,13.499,98.67240000000001,0.11460000000000144,18.0,Out of Points
2022,Bahrain Grand Prix,ALO,30,0.5263157894736842,12.0,HARD,5.0,3.0,78.495,98.52766666666668,0.3425000000000029,9.0,Low Points
2022,Bahrain Grand Prix,LEC,30,0.5263157894736842,1.0,SOFT,18.0,2.0,0.0,98.631,0.233200000000003,1.0,Podium
2022,Bahrain Grand Prix,STR,30,0.5263157894736842,15.0,SOFT,12.0,2.0,85.626,100.16499999999999,0.02960000000000674,12.0,Out of Points
2022,Bahrain Grand Prix,MAG,30,0.5263157894736842,6.0,SOFT,19.0,2.0,43.476,99.76599999999999,0.09460000000000558,5.0,Top Points
2022,Bahrain Grand Prix,TSU,30,0.5263157894736842,14.0,SOFT,1.0,3.0,66.253,100.131,-0.0817999999999984,8.0,Low Points
2022,Bahrain Grand Prix,ALB,30,0.5263157894736842,16.0,MEDIUM,17.0,2.0,89.193,101.5146,0.06730000000000358,13.0,Out of Points
2022,Bahrain Grand Prix,ZHO,30,0.5263157894736842,11.0,MEDIUM,15.0,2.0,67.229,100.0222,0.14559999999999818,10.0,Low Points
