year,circuit,driver,lap,compound,tire_age,stint_number,context,gap_ahead,gap_behind,threat_gap,gap_trend,deg_delta,cars_behind_pitting,pit_loss,pit_loss_fraction,circuit_median_gap,gap_is_open_now,laps_until_open,window_open_lap,opens_in_horizon,own_pace,threat_pace,closing_rate,race_progress,sc_rate,vsc_rate
2022,Bahrain Grand Prix,ALB,5,SOFT,5,1,tight_both,1.513,1.23,1.23,-0.107,0.8149,0,21.5,0.2154,2.938,0,1.0,6.0,1,100.779,100.877,-0.098,0.0877,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,6,SOFT,6,1,tight_both,2.61,0.706,0.706,0.3175,0.7327,0,21.5,0.2154,2.938,1,0.0,6.0,1,101.16,101.123,0.037,0.1053,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,7,SOFT,7,1,tight_both,3.417,0.432,0.432,0.1395,0.6763,0,21.5,0.2154,2.938,1,0.0,7.0,1,101.27,101.099,0.1706,0.1228,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,8,SOFT,8,1,tight_both,1.059,0.301,0.301,-0.399,0.6459,0,21.5,0.2154,2.938,1,0.0,8.0,1,101.472,100.846,0.6262,0.1404,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,9,SOFT,9,1,tight_both,2.622,0.41,0.41,-0.2025,0.6413,2,21.5,0.2154,2.938,1,0.0,9.0,1,101.959,101.232,0.7274,0.1579,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,10,SOFT,10,1,tight_both,1.751,1.504,1.504,-0.011,0.6627,3,21.5,0.2154,2.938,1,0.0,10.0,1,102.164,101.834,0.3296,0.1754,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,11,SOFT,11,1,tight_both,3.282,1.259,1.259,0.6015,0.71,4,21.5,0.2154,2.938,1,0.0,11.0,1,102.403,101.961,0.442,0.193,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,12,SOFT,12,1,tight_both,4.294,1.216,1.216,0.4245,0.7832,11,21.5,0.2154,2.938,1,0.0,12.0,1,102.579,102.05,0.5288,0.2105,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,15,MEDIUM,2,2,tight_ahead,2.317,9.611,9.611,0.19,1.4132,13,21.5,0.2154,2.938,0,10.0,25.0,1,103.336,,0.0,0.2632,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,16,MEDIUM,3,2,tight_ahead,2.601,8.686,8.686,8.205,1.4791,7,21.5,0.2154,2.938,0,9.0,25.0,1,102.34,107.052,-4.7115,0.2807,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,17,MEDIUM,4,2,tight_ahead,1.94,8.076,8.076,-0.925,1.5406,3,21.5,0.2154,2.938,0,8.0,25.0,1,101.734,106.156,-4.4218,0.2982,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,18,MEDIUM,5,2,tight_ahead,2.407,8.123,8.123,-0.7675,1.5979,3,21.5,0.2154,2.938,0,7.0,25.0,1,101.174,105.197,-4.0225,0.3158,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,19,MEDIUM,6,2,tight_both,2.673,2.035,7.568,-0.2815,1.6509,2,21.5,0.2154,2.938,0,6.0,25.0,1,100.043,104.425,-4.3823,0.3333,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,20,MEDIUM,7,2,tight_ahead,1.031,7.818,7.818,-0.254,1.6995,1,21.5,0.2154,2.938,0,5.0,25.0,1,100.194,103.589,-3.3948,0.3509,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,21,MEDIUM,8,2,tight_ahead,0.396,6.049,6.049,-0.1525,1.7439,0,21.5,0.2154,2.938,0,4.0,25.0,1,100.339,105.685,-5.3464,0.3684,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,22,MEDIUM,9,2,tight_behind,6.992,1.664,4.888,-0.7595,1.7839,1,21.5,0.2154,2.938,0,3.0,25.0,1,100.542,104.909,-4.3672,0.386,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,23,MEDIUM,10,2,tight_behind,7.092,3.114,3.963,-1.465,1.8197,2,21.5,0.2154,2.938,0,2.0,25.0,1,100.652,104.469,-3.8164,0.4035,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,24,MEDIUM,11,2,tight_behind,7.607,3.181,3.181,-1.043,1.8511,2,21.5,0.2154,2.938,0,1.0,25.0,1,100.754,103.554,-2.7996,0.4211,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,25,MEDIUM,12,2,tight_behind,8.019,1.923,1.923,-0.8535,1.8783,3,21.5,0.2154,2.938,1,0.0,25.0,1,100.728,99.401,1.327,0.4386,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,26,MEDIUM,13,2,tight_both,1.368,0.74,0.74,-1.02,1.9011,2,21.5,0.2154,2.938,1,0.0,26.0,1,100.887,99.568,1.3188,0.4561,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,27,MEDIUM,14,2,tight_ahead,0.942,8.25,8.25,-1.2205,1.9196,2,21.5,0.2154,2.938,0,1.0,28.0,1,100.976,101.126,-0.1498,0.4737,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,28,MEDIUM,15,2,tight_ahead,2.116,8.592,8.592,3.1635,1.9338,4,21.5,0.2154,2.938,1,0.0,28.0,1,101.224,100.372,0.8512,0.4912,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,29,MEDIUM,16,2,tight_ahead,3.567,7.714,7.714,3.926,1.9438,4,21.5,0.2154,2.938,1,0.0,29.0,1,101.347,100.644,0.7038,0.5088,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,30,MEDIUM,17,2,tight_ahead,3.737,7.341,7.341,-0.268,1.9494,6,21.5,0.2154,2.938,1,0.0,30.0,1,101.515,100.714,0.8002,0.5263,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,31,MEDIUM,18,2,tight_ahead,4.112,6.742,14.119,-0.6255,1.9507,9,21.5,0.2154,2.938,1,0.0,31.0,1,101.512,100.932,0.58,0.5439,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,32,MEDIUM,19,2,free,5.316,6.187,13.914,3.2025,1.9477,8,21.5,0.2154,2.938,1,0.0,32.0,1,101.433,101.126,0.307,0.5614,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,33,MEDIUM,20,2,free,5.832,8.683,13.121,3.2865,1.9404,9,21.5,0.2154,2.938,0,1.0,34.0,1,101.27,101.365,-0.0946,0.5789,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,34,MEDIUM,21,2,free,6.672,12.81,12.81,-0.499,1.9288,8,21.5,0.2154,2.938,1,0.0,34.0,1,101.172,99.584,1.588,0.5965,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,37,MEDIUM,4,3,tight_behind,5.2,2.228,2.228,-5.2025,1.5406,4,21.5,0.2154,2.938,1,0.0,37.0,1,106.117,105.249,0.8674,0.6491,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,38,MEDIUM,5,3,tight_behind,11.812,2.247,2.247,-3.7305,1.5979,3,21.5,0.2154,2.938,1,0.0,38.0,1,105.701,104.91,0.7918,0.6667,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,39,MEDIUM,6,3,tight_both,4.433,2.542,2.542,-0.079,1.6509,2,21.5,0.2154,2.938,1,0.0,39.0,1,105.354,104.067,1.2872,0.6842,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,40,MEDIUM,7,3,tight_behind,5.712,2.559,2.559,0.157,1.6995,2,21.5,0.2154,2.938,1,0.0,40.0,1,104.919,99.361,5.5576,0.7018,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,41,MEDIUM,8,3,tight_behind,5.633,2.328,2.328,0.156,1.7439,5,21.5,0.2154,2.938,1,0.0,41.0,1,103.954,99.108,4.846,0.7193,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,42,MEDIUM,9,3,tight_behind,7.762,4.142,14.822,-0.107,1.7839,10,21.5,0.2154,2.938,0,2.0,44.0,1,99.148,100.31,-1.1614,0.7368,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,43,MEDIUM,10,3,tight_behind,7.625,4.238,17.835,6.1315,1.8197,13,21.5,0.2154,2.938,0,1.0,44.0,1,99.166,,0.0,0.7544,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,44,MEDIUM,11,3,free,15.569,7.24,24.984,7.7535,1.8511,14,21.5,0.2154,2.938,1,0.0,44.0,1,99.206,,0.0,0.7719,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,45,MEDIUM,12,3,free,9.829,17.609,45.18,5.081,1.8783,11,21.5,0.2154,2.938,1,0.0,45.0,1,99.251,,0.0,0.7895,0.0993,0.0209
2022,Bahrain Grand Prix,ALB,48,SOFT,5,4,tight_both,4.058,3.197,3.197,-21.1625,0.8149,0,21.5,0.2154,2.938,0,5.0,53.0,1,,,0.0,0.8421,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,5,SOFT,8,1,tight_both,1.56,0.847,0.847,0.067,0.6459,0,21.5,0.2154,2.938,1,0.0,5.0,1,100.245,100.189,0.0557,0.0877,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,6,SOFT,9,1,tight_both,1.744,0.747,0.747,0.065,0.6413,0,21.5,0.2154,2.938,1,0.0,6.0,1,100.3,100.263,0.0373,0.1053,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,7,SOFT,10,1,tight_both,2.134,0.706,0.706,-0.041,0.6627,0,21.5,0.2154,2.938,1,0.0,7.0,1,100.372,100.322,0.0498,0.1228,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,8,SOFT,11,1,tight_both,1.223,3.254,3.254,-0.0705,0.71,0,21.5,0.2154,2.938,0,1.0,9.0,1,100.454,100.661,-0.207,0.1404,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,9,SOFT,12,1,tight_both,1.852,2.706,2.706,1.2535,0.7832,2,21.5,0.2154,2.938,1,0.0,9.0,1,100.883,100.807,0.0754,0.1579,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,10,SOFT,13,1,tight_both,2.733,2.015,2.015,1.0,0.8822,3,21.5,0.2154,2.938,1,0.0,10.0,1,101.153,100.796,0.3572,0.1754,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,13,MEDIUM,2,2,tight_both,0.45,1.655,1.655,0.206,1.4132,14,21.5,0.2154,2.938,1,0.0,13.0,1,106.002,102.336,3.6662,0.2281,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,14,MEDIUM,3,2,tight_both,1.98,1.883,1.883,-0.566,1.4791,13,21.5,0.2154,2.938,1,0.0,14.0,1,105.338,102.873,2.4644,0.2456,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,15,MEDIUM,4,2,tight_both,0.361,0.449,4.446,0.228,1.5406,13,21.5,0.2154,2.938,1,0.0,15.0,1,106.31,102.648,3.6618,0.2632,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,16,MEDIUM,5,2,tight_both,1.418,1.659,6.731,1.3955,1.5979,7,21.5,0.2154,2.938,0,5.0,21.0,1,105.906,107.301,-1.3952,0.2807,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,17,MEDIUM,6,2,tight_both,1.984,4.083,6.117,2.424,1.6509,3,21.5,0.2154,2.938,0,4.0,21.0,1,104.983,107.05,-2.0677,0.2982,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,18,MEDIUM,7,2,tight_ahead,2.905,6.333,6.333,0.8355,1.6995,3,21.5,0.2154,2.938,0,3.0,21.0,1,99.828,106.482,-6.654,0.3158,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,19,MEDIUM,8,2,tight_both,3.274,4.99,4.99,-0.199,1.7439,2,21.5,0.2154,2.938,0,2.0,21.0,1,100.018,106.139,-6.1217,0.3333,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,20,MEDIUM,9,2,tight_both,4.014,4.033,4.033,-0.5635,1.7839,1,21.5,0.2154,2.938,0,1.0,21.0,1,99.971,104.6,-4.6288,0.3509,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,21,MEDIUM,10,2,tight_behind,5.018,3.129,3.129,-1.15,1.8197,0,21.5,0.2154,2.938,1,0.0,21.0,1,99.895,99.257,0.6382,0.3684,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,22,MEDIUM,11,2,tight_behind,6.37,1.929,1.929,-0.9305,1.8511,1,21.5,0.2154,2.938,1,0.0,22.0,1,99.798,99.077,0.7204,0.386,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,23,MEDIUM,12,2,tight_behind,6.982,1.502,1.502,-1.052,1.8783,2,21.5,0.2154,2.938,1,0.0,23.0,1,100.012,99.174,0.8376,0.4035,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,24,MEDIUM,13,2,tight_behind,8.115,0.892,0.892,-0.8135,1.9011,2,21.5,0.2154,2.938,1,0.0,24.0,1,100.034,99.068,0.9662,0.4211,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,27,HARD,2,3,tight_both,4.74,4.484,4.484,0.238,1.6019,2,21.5,0.2154,2.938,1,0.0,27.0,1,104.936,99.914,5.0216,0.4737,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,28,HARD,3,3,tight_ahead,2.958,5.757,5.757,1.587,1.6178,4,21.5,0.2154,2.938,1,0.0,28.0,1,104.434,100.058,4.3766,0.4912,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,29,HARD,4,3,tight_ahead,0.719,7.131,7.131,2.1945,1.6328,4,21.5,0.2154,2.938,1,0.0,29.0,1,104.231,100.132,4.0998,0.5088,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,30,HARD,5,3,tight_behind,10.056,2.261,2.261,1.3235,1.6469,6,21.5,0.2154,2.938,1,0.0,30.0,1,103.868,100.753,3.1156,0.5263,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,31,HARD,6,3,tight_behind,9.266,4.217,4.217,-1.748,1.6601,9,21.5,0.2154,2.938,1,0.0,31.0,1,103.026,100.95,2.0764,0.5439,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,32,HARD,7,3,free,8.605,5.452,5.452,-1.457,1.6724,8,21.5,0.2154,2.938,0,5.0,37.0,1,98.633,104.575,-5.9414,0.5614,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,33,HARD,8,3,tight_both,1.833,3.876,3.876,1.5955,1.6838,9,21.5,0.2154,2.938,0,4.0,37.0,1,98.865,104.277,-5.4116,0.5789,0.0993,0.0209
2022,Bahrain Grand Prix,ALO,34,HARD,9,3,tight_both,3.717,2.823,2.823,-0.1705,1.6943,8,21.5,0.2154,2.938,0,3.0,37.0,1,99.021,103.945,-4.9248,0.5965,0.0993,0.0209
